source_doc,senator_flag,senator_name,raw office,funding_year,fiscal_year,congress_number,reference_page,document_number,date_posted,start_date,end_date,description,salary_flag,amount,payee
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002717,1/29/14,12/1/13,12/26/13,TECHNICAL SUPPORT,0,"$ 51,528.00",EMC CORPORATION
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002719,1/29/14,11/11/13,11/30/13,TECHNICAL SUPPORT,0,"$ 31,517.00",EMC CORPORATION
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400003038,1/30/14,8/24/13,9/30/13,TECHNICAL SUPPORT,0,"$ 109,466.52",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400003080,1/30/14,10/1/13,11/22/13,TECHNICAL SUPPORT,0,"$ 6,532.72",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400003081,1/30/14,1/6/14,1/7/14,TECHNICAL SUPPORT,0,$ 180.00,ANALYSTS INTERNATIONAL CORP
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400003037,2/3/14,11/1/13,11/26/13,TECHNICAL SUPPORT,0,"$ 24,840.00",EMERGENT LLC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400003201,2/3/14,11/23/13,12/27/13,TECHNICAL SUPPORT,0,"$ 18,867.03",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1216 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1216,,,302,V21400003258,2/4/14,11/1/13,11/30/13,TECHNICAL SUPPORT,0,"$ 30,514.40",NCI INFORMATION SYSTEMS INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400003090,2/4/14,12/9/13,12/29/13,TECHNICAL SUPPORT,0,"$ 157,251.69",BART AND ASSOCIATES INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400003123,2/4/14,10/1/13,11/22/13,TECHNICAL SUPPORT,0,"$ 31,396.60",GENERAL DYNAMICS INFORMATION TECH INC
